Common/None,無
SelfLeaderboard/TitleText,個 人 最 佳 成 績
SelfLeaderboard/ClearTimesText,-  通關次數：
StageIntroductionPanel/Title,關 卡 介 紹
StageIntroductionPanel/StageOverviewTitle,關卡概述
StageIntroductionPanel/StageObjectivesTitle,關卡目標
ModeSelectionPanel/Title,模 式 選 擇
ModeSelectionPanel/TutorialModeButton,教學模式
ModeSelectionPanel/PracticeModeButton,練習模式
ModeSelectionPanel/BackToStageSelectionButton,回到關卡選擇畫面
ModeSelectionPanel/PlayThisStage,遊玩此關卡
TooltipMessage/TutorialModeDescription,"在教學模式下，
過程中將會有教學文字引導您完成模擬情景中的主要目標"
TooltipMessage/PracticeModeDescription,"在練習模式下，
您需要獨自完成模擬情景中提供的目標
（需要先通過教學模式才能解鎖）"
StageIntroductionPanel/StageOverview/Game Introduction,"'遊戲介紹' 關卡是您在這個 Git 教學遊戲的起點。
在這個關卡中，將介紹基本遊戲的玩法和規則。
您將通過 '備份檔案' 的方式，來熟悉遊戲的基本操作和介面。"
StageIntroductionPanel/StageObjective/Game Introduction,"1. 通過關卡流程來了解遊戲介面和操作。
2. 通過 '備份檔案' 的方法來熟悉遊戲環境和玩法。"
StageIntroductionPanel/StageOverview/Version Control and Git,"在這一關卡中，您將學習版本控制和 Git 的基本知識。
本關卡將重點介紹：
版本控制的概念、Git 的作用以及它們帶來的好處。

此關卡不包含實際操作，但在最後有一個小測驗來複習和鞏固學習內容。"
StageIntroductionPanel/StageObjective/Version Control and Git,"1. 回顧上一關卡並點出 '備份檔案' 可能造成的問題。
2. 理解版本控制的基本概念和帶來的優點。
3. 了解什麼是 Git 以及使用它的優點。
4. 通過測驗來加深對版本控制和 Git 的理解。"
StageIntroductionPanel/StageOverview/Create Local Repository,"在這個關卡中，您將學習如何使用命令行界面創建您的第一個 Git 本地存儲庫。
通過文字教學和實際行動，
您可以學習如何控制命令行界面、執行 Git 命令，並了解 Git 的組件及其工作流程。"
StageIntroductionPanel/StageObjective/Create Local Repository,"1. 學會開啟和使用命令行界面。
2. 理解並執行 'git --version' 指令，以檢查 Git 的安裝和版本。
3. 執行 'git init' 指令，在指定目錄創建一個新的 Git 儲存庫。
4. 了解 '.git' 資料夾的作用和組成。"
StageIntroductionPanel/StageOverview/Basic Staging Area,"在這個關卡中，您將學習 Git 暫存區域的基本操作。
本關卡將進一步認識暫存區域的結構，
並通過 Git 指令來查看暫存區域的內容和控制文件的追蹤狀態。"
StageIntroductionPanel/StageObjective/Basic Staging Area,"1. 理解暫存區域在 Git 工作流程中的作用和重要性。
2. 學會使用 'git status' 指令來查看暫存區域的狀態。
3. 熟悉如何使用 'git add' 指令將文件加入暫存區域。
4. 了解如何使用 'git reset' 指令將文件從暫存區域移除。"
StageIntroductionPanel/StageOverview/Advanced Staging Area,"在這個關卡中，您將學習 Git 暫存區域的進階操作。
本關卡將學會如何在指令前方加入參數來更高效地管理文件的暫存狀態。
您將學會如何一次性地移動資料夾的檔案和移動命令行路徑中的所有檔案。"
StageIntroductionPanel/StageObjective/Advanced Staging Area,"1. 學會在 'git add' 和 'git reset' 指令加入參數來更高效地操作暫存區域。
2. 在過程中了解 Git 指令的高靈活性"
StageIntroductionPanel/StageOverview/Creating First Version,"在這個關卡中，您將學習創建 Git 提交（commit）的流程。
前面的關卡裡，您已經學會將檔案加入至暫存區域。
而本次會將這些內容推入提交記錄中，並從中了解區域中的內容。"
StageIntroductionPanel/StageObjective/Creating First Version,"1. 使用 'git add'、'git reset' 指令將檔案加入、移出暫存區域。
2. 學習使用 'git commit' 指令來提交更改。
3. 理解提交訊息的重要性並學習如何填寫有意義的訊息。
4. 使用 'git status' 和 'git log' 來查看暫存區域和提交記錄的狀態。"
StageIntroductionPanel/StageOverview/Switching Project Versions,"在這個關卡中，您將學習如何使用 'git checkout' 指令來切換不同的提交版本。
並學習如何查看提交記錄，由此來移動 HEAD 到其他提交上。
過程中會遇到切換版本時會發生的情況。"
StageIntroductionPanel/StageObjective/Switching Project Versions,"1. 熟悉提交記錄的結構。
2. 學會使用 'git checkout 提交ID' 來切換到不同的提交。
3. 理解 '分離 HEAD'（Detached HEAD）的概念和造成的影響。
4. 學會如何使用 'git checkout 分支名稱' 將 HEAD 切換回指定分支。"
StageIntroductionPanel/StageOverview/Git Branching Basics,"在這個關卡中，您將學習 Git 分支的基本操作和管理技巧。
本次會介紹分支系統所帶來的好處，並通過場景來學習分支相關指令
場景中會包含創建、查看、切換和刪除分支的動作。"
StageIntroductionPanel/StageObjective/Git Branching Basics,"1. 介紹分支管理在專案的重要性以及好處。
2. 學習使用 'git branch' 指令來管理分支，加入參數來使用更多功能。
3. 練習使用 'git checkout' 來切換分支。
4. 透過實際操作驗證分支管理在專案開發中的重要性。"